time,long,lat,speed,heading,odometer,power
1455122864,-92.3542255,38.9222326,0.0,328.8,160582040.0,on
1455122864,-92.3542255,38.9222326,0.0,328.8,160582040.0,on
1455122874,-92.3542231,38.9222324,3.6,328.8,160582040.0,on
1455122874,-92.3542231,38.9222324,3.6,328.8,160582040.0,on
1455122874,-92.3542231,38.9222324,3.6,328.8,160582040.0,on
1455122874,-92.3542231,38.9222324,3.6,328.8,160582040.0,on
1455122874,-92.3542231,38.9222324,3.6,328.8,160582040.0,on
1455122874,-92.3542231,38.9222324,3.6,328.8,160582040.0,on
1455122874,-92.3542231,38.9222324,3.6,328.8,160582040.0,on
1455122874,-92.3542231,38.9222324,3.6,328.8,160582040.0,on
1455122874,-92.3542231,38.9222324,3.6,328.8,160582040.0,on
1455122874,-92.3542231,38.9222324,3.6,328.8,160582040.0,on
1455122874,-92.3542231,38.9222324,3.6,328.8,160582040.0,on
1455122874,-92.3542231,38.9222324,3.6,328.8,160582040.0,on
1455122874,-92.3542231,38.9222324,3.6,328.8,160582040.0,on
1455122874,-92.3542231,38.9222324,3.6,328.8,160582040.0,on
1455122874,-92.3542231,38.9222324,3.6,328.8,160582040.0,on
1455122874,-92.3542231,38.9222324,3.6,328.8,160582040.0,on
1455122874,-92.3542231,38.9222324,3.6,328.8,160582040.0,on
1455122874,-92.3542231,38.9222324,3.6,328.8,160582040.0,on
1455122874,-92.3542231,38.9222324,3.6,328.8,160582040.0,on
1455122874,-92.3542231,38.9222324,3.6,328.8,160582040.0,on
1455122917,-92.3546163,38.9226082,0.0,299.8,160582125.0,on
1455122917,-92.3546163,38.9226082,0.0,299.8,160582125.0,on
1455122917,-92.3546163,38.9226082,0.0,299.8,160582125.0,on
1455122917,-92.3546163,38.9226082,0.0,299.8,160582125.0,on
1455122928,-92.3546199,38.922613,3.4,295.4,160582125.0,on
1455122928,-92.3546199,38.922613,3.4,295.4,160582125.0,on
1455122928,-92.3546199,38.922613,3.4,295.4,160582125.0,on
1455122928,-92.3546199,38.922613,3.4,295.4,160582125.0,on
1455122928,-92.3546199,38.922613,3.4,295.4,160582125.0,on
1455122928,-92.3546199,38.922613,3.4,295.4,160582125.0,on
1455122928,-92.3546199,38.922613,3.4,295.4,160582125.0,on
1455122928,-92.3546199,38.922613,3.4,295.4,160582125.0,on
1455122928,-92.3546199,38.922613,3.4,295.4,160582125.0,on
1455122928,-92.3546199,38.922613,3.4,295.4,160582125.0,on
1455122928,-92.3546199,38.922613,3.4,295.4,160582125.0,on
1455122928,-92.3546199,38.922613,3.4,295.4,160582125.0,on
1455122928,-92.3546199,38.922613,3.4,295.4,160582125.0,on
1455122928,-92.3546199,38.922613,3.4,295.4,160582125.0,on
1455122928,-92.3546199,38.922613,3.4,295.4,160582125.0,on
1455122928,-92.3546199,38.922613,3.4,295.4,160582125.0,on
1455122928,-92.3546199,38.922613,3.4,295.4,160582125.0,on
1455122928,-92.3546199,38.922613,3.4,295.4,160582125.0,on
1455122928,-92.3546199,38.922613,3.4,295.4,160582125.0,on
1455122928,-92.3546199,38.922613,3.4,295.4,160582125.0,on
1455122928,-92.3546199,38.922613,3.4,295.4,160582125.0,on
1455122975,-92.3551704,38.9226711,0.0,267.2,160582185.0,on
1455122986,-92.3552146,38.9226717,5.1,295.2,160582190.0,on
1455122986,-92.3552146,38.9226717,5.1,295.2,160582190.0,on
1455122986,-92.3552146,38.9226717,5.1,295.2,160582190.0,on
1455122986,-92.3552146,38.9226717,5.1,295.2,160582190.0,on
1455122986,-92.3552146,38.9226717,5.1,295.2,160582190.0,on
1455122986,-92.3552146,38.9226717,5.1,295.2,160582190.0,on
1455122986,-92.3552146,38.9226717,5.1,295.2,160582190.0,on
1455122986,-92.3552146,38.9226717,5.1,295.2,160582190.0,on
1455122986,-92.3552146,38.9226717,5.1,295.2,160582190.0,on
1455122986,-92.3552146,38.9226717,5.1,295.2,160582190.0,on
1455122986,-92.3552146,38.9226717,5.1,295.2,160582190.0,on
1455122986,-92.3552146,38.9226717,5.1,295.2,160582190.0,on
1455122986,-92.3552146,38.9226717,5.1,295.2,160582190.0,on
1455122986,-92.3552146,38.9226717,5.1,295.2,160582190.0,on
1455122986,-92.3552146,38.9226717,5.1,295.2,160582190.0,on
1455122986,-92.3552146,38.9226717,5.1,295.2,160582190.0,on
1455122986,-92.3552146,38.9226717,5.1,295.2,160582190.0,on
1455122986,-92.3552146,38.9226717,5.1,295.2,160582190.0,on
1455122986,-92.3552146,38.9226717,5.1,295.2,160582190.0,on
